"","scores","predscores","tmhalfsc","opphalfsc","airya","yaca","airyd","yac","psd","patt","comppct","ryd","ratt","rushsd","ypr","int_pct","sack_pct","sack_yd_pct","fum_pct"
"1481",27,22.5,27,3,3.66666666666667,7.8695652173913,66,181,10.9061394430394,18,0.777777777777778,66,15,4.57238085319527,4.4,0,0.0526315789473684,-0.315789473684211,0
"1482",6,13.5,3,6,4.72727272727273,0.961538461538462,52,25,4.81028989655394,11,0.545454545454545,77,19,5.55805422418698,4.05263157894737,0.0909090909090909,0.153846153846154,-0.846153846153846,0.0625
"1483",33,20.5,26,0,6.375,3.64285714285714,102,51,12.2346843032422,16,0.75,64,17,3.35242514088824,3.76470588235294,0,0,0,0
"1484",44,14,10,10,5.8,1.66666666666667,87,40,15.2515368078105,15,0.533333333333333,123,13,14.7628191211017,9.46153846153846,0.0666666666666667,0,0,0.0357142857142857
"1485",37,24.5,13,10,4.41666666666667,4.90909090909091,106,54,7.95543140809403,24,0.625,30,11,3.22182639030352,2.72727272727273,0,0.04,-0.28,0.0277777777777778
"1486",27,19.75,13,14,3.35,6.33333333333333,67,114,9.49713407063181,20,0.75,27,14,3.6929331299173,1.92857142857143,0,0.0476190476190476,-0.476190476190476,0.0285714285714286
"1487",7,20,0,31,2.5,1.8695652173913,30,43,6.64148891439262,12,0.666666666666667,16,7,3.0572763655761,2.28571428571429,0.0833333333333333,0.0769230769230769,-0.538461538461538,0.05
"1488",0,11.75,0,27,-0.0909090909090909,0.0833333333333333,-1,1,0,11,0.0909090909090909,7,4,4.43705983732471,1.75,0.0909090909090909,0,0,0
"1489",20,18,14,13,3.52631578947368,5.30434782608696,67,122,20.3706721959361,19,0.736842105263158,16,9,3.70518488900735,1.77777777777778,0,0,0,0
"1490",28,23.25,0,3,0.5,1.125,5,18,5.85149553533112,10,0.5,44,14,3.46115469702449,3.14285714285714,0,0.166666666666667,-1.25,0
"1491",20,22.25,10,3,4.68181818181818,4.08333333333333,103,49,6.97316284049068,22,0.727272727272727,36,13,2.04389696239791,2.76923076923077,0,0.0434782608695652,-0.391304347826087,0.0277777777777778
"1492",9,22.25,9,7,4.86666666666667,2.57142857142857,73,54,8.77355153923257,15,0.733333333333333,61,17,3.86627687650705,3.58823529411765,0.0666666666666667,0,0,0
"1493",15,21,10,3,3.38888888888889,6.7,61,67,5.97232275193282,18,0.722222222222222,55,18,3.45562700890755,3.05555555555556,0,0.0526315789473684,-0.315789473684211,0
"1494",14,19.25,14,13,3.13333333333333,1.89473684210526,47,36,5.05179781434538,15,0.733333333333333,25,13,3.07499939866257,1.92307692307692,0,0.0625,-0.5625,0.0344827586206897
"1495",24,24.5,10,13,4.12903225806452,4.25,128,51,6.20766843446799,31,0.67741935483871,21,9,2.05480466765633,2.33333333333333,0,0.03125,-0.21875,0
"1496",17,19.25,7,7,5.05555555555556,10.4,91,104,10.6337633543785,18,0.722222222222222,36,12,2.82842712474619,3,0,0.1,-0.7,0.03125
"1497",24,19.75,3,24,4.42105263157895,1.91666666666667,84,46,12.7529952908675,19,0.631578947368421,36,13,3.96433806976158,2.76923076923077,0.0526315789473684,0.05,-0.2,0.0606060606060606
"1498",27,25.5,13,3,4.57142857142857,3.3,96,33,4.47868214433666,21,0.761904761904762,66,14,5.18829137066711,4.71428571428571,0.0476190476190476,0.125,-0.875,0
